batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,1,4,0,0,25.0,FJ Klaassen,4.0,31.0,3.0,0.0,0.0,7.75
KJ O'Brien,46,30,4,3,153.33333333333334,PA van Meekeren,4.0,38.0,4.0,0.0,1.0,9.5
A Balbirnie,83,50,12,1,166.0,T van der Gugten,4.0,36.0,0.0,0.0,0.0,9.0
SR Thompson,11,10,0,1,110.00000000000001,RE van der Merwe,4.0,35.0,0.0,0.0,0.0,8.75
SC Getkate,4,5,0,0,80.0,PM Seelaar,3.0,32.0,0.0,0.0,0.0,10.666666666666666
GH Dockrell,12,7,2,0,171.42857142857142,Sikander Zulfiqar,1.0,9.0,1.0,0.0,0.0,9.0
Simi Singh,8,6,1,0,133.33333333333331,,,,,,,
SW Poynter,8,4,0,1,200.0,,,,,,,
J Little,7,3,1,0,233.33333333333334,,,,,,,
WB Rankin,0,1,0,0,0.0,,,,,,,
