batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Jatinder Singh,10,14,0,0,71.42857142857143,MR Adair,4.0,26.0,2.0,0.0,3.0,6.5
Khawar Ali,50,34,4,3,147.05882352941177,GJ Delany,4.0,29.0,2.0,0.0,1.0,7.25
Aqib Ilyas,8,3,2,0,266.66666666666663,WB Rankin,4.0,20.0,1.0,1.0,1.0,4.75
Zeeshan Maqsood,3,5,0,0,60.0,DC Delany,2.0,24.0,1.0,0.0,2.0,12.0
Suraj Kumar,16,12,2,0,133.33333333333331,SR Thompson,3.0,23.0,0.0,1.0,1.0,7.333333333333333
Aamir Kaleem,12,10,0,1,120.0,GH Dockrell,3.0,24.0,2.0,0.0,2.0,8.0
Khurram Nawaz,11,13,0,0,84.61538461538461,,,,,,,
Sandeep Goud,4,8,0,0,50.0,,,,,,,
Mohammad Nadeem,5,4,1,0,125.0,,,,,,,
Fayyaz Butt,9,11,1,0,81.81818181818183,,,,,,,
Bilal Khan,6,8,0,0,75.0,,,,,,,
