batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Babar Azam,42,32,4,0,131.25,Mohammad Sami,4.0,32.0,0.0,0.0,0.0,8.0
C Munro,32,11,6,1,290.90909090909093,Rumman Raees,4.0,30.0,1.0,0.0,0.0,7.5
LS Livingstone,30,25,3,1,120.0,Faheem Ashraf,4.0,30.0,2.0,0.0,1.0,7.5
CA Ingram,23,16,2,1,143.75,Muhammad Musa,4.0,42.0,3.0,1.0,0.0,10.25
BR Dunk,12,11,1,0,109.09090909090908,Shadab Khan,4.0,26.0,1.0,0.0,0.0,6.5
Iftikhar Ahmed,1,2,0,0,50.0,,,,,,,
Imad Wasim,13,15,1,0,86.66666666666667,,,,,,,
Aamer Yamin,1,2,0,0,50.0,,,,,,,
Mohammad Amir,3,4,0,0,75.0,,,,,,,
Umer Khan,0,1,0,0,0.0,,,,,,,
Usman Shinwari,1,2,0,0,50.0,,,,,,,
