batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
L Ronchi,32,16,6,1,200.0,Mohammad Ilyas,3.0,21.0,2.0,0.0,0.0,7.0
CS Delport,4,3,1,0,133.33333333333331,Mohammad Irfan,4.0,17.0,1.0,0.0,0.0,4.25
Sahibzada Farhan,4,8,0,0,50.0,Nauman Ali,2.0,14.0,2.0,0.0,1.0,7.0
SR Patel,20,27,3,0,74.07407407407408,Junaid Khan,3.0,11.0,0.0,0.0,1.0,3.6666666666666665
Hussain Talat,8,11,1,0,72.72727272727273,Shahid Afridi,4.0,37.0,2.0,0.0,0.0,9.25
WD Parnell,5,8,0,0,62.5,DT Christian,2.0,19.0,3.0,0.0,0.0,9.5
Asif Ali,22,12,0,3,183.33333333333331,,,,,,,
Shadab Khan,4,5,0,0,80.0,,,,,,,
Faheem Ashraf,16,10,1,1,160.0,,,,,,,
Rumman Raees,0,1,0,0,0.0,,,,,,,
Muhammad Musa,2,5,0,0,40.0,,,,,,,
