batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Kamran Akmal,7,8,1,0,87.5,SR Patel,4.0,38.0,1.0,0.0,0.0,9.5
Imam-ul-Haq,18,16,3,0,112.5,Mohammad Sami,4.0,22.0,3.0,0.0,0.0,5.5
DJ Malan,1,6,0,0,16.666666666666664,Muhammad Musa,4.0,25.0,3.0,0.0,0.0,6.25
Umar Amin,14,20,1,0,70.0,Faheem Ashraf,4.0,32.0,2.0,0.0,1.0,8.0
LA Dawson,21,23,1,0,91.30434782608695,Shadab Khan,4.0,29.0,1.0,0.0,0.0,7.25
KA Pollard,51,22,3,5,231.81818181818184,,,,,,,
DJG Sammy,11,10,1,0,110.00000000000001,,,,,,,
Wahab Riaz,20,8,1,2,250.0,,,,,,,
Hasan Ali,2,4,0,0,50.0,,,,,,,
Umaid Asif,0,1,0,0,0.0,,,,,,,
