batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
L Ronchi,9,5,1,0,180.0,Hasan Ali,4.0,24.0,2.0,0.0,0.0,6.0
CS Delport,71,55,8,1,129.0909090909091,Ibtisam Sheikh,3.0,30.0,2.0,0.0,0.0,10.0
PD Salt,28,18,5,0,155.55555555555557,Umaid Asif,4.0,40.0,1.0,0.0,1.0,10.0
CAK Walton,22,14,2,1,157.14285714285714,LA Dawson,2.0,25.0,0.0,0.0,0.0,12.5
Asif Ali,23,13,1,2,176.9230769230769,Wahab Riaz,4.0,20.0,2.0,0.0,1.0,5.0
Nasir Nawaz,3,5,0,0,60.0,KA Pollard,3.0,32.0,0.0,0.0,1.0,10.666666666666666
Faheem Ashraf,9,5,1,0,180.0,,,,,,,
Shadab Khan,0,1,0,0,0.0,,,,,,,
Mohammad Sami,1,2,0,0,50.0,,,,,,,
Zafar Gohar,2,2,0,0,100.0,,,,,,,
