batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SR Watson,15,11,2,1,136.36363636363635,SR Patel,4.0,33.0,1.0,0.0,1.0,8.25
Ahmed Shehzad,73,46,9,1,158.69565217391303,Shadab Khan,3.0,35.0,0.0,0.0,0.0,11.666666666666666
Azam Khan,12,15,1,0,80.0,Mohammad Sami,2.0,15.0,0.0,0.0,2.0,7.5
RR Rossouw,23,17,2,1,135.29411764705884,Faheem Ashraf,3.0,18.0,4.0,0.0,2.0,6.0
Umar Akmal,27,17,1,3,158.8235294117647,CS Delport,1.0,9.0,0.0,0.0,0.0,9.0
DJ Bravo,0,2,0,0,0.0,Amad Butt,4.0,40.0,3.0,0.0,4.0,10.0
Sarfraz Ahmed,1,2,0,0,50.0,Zafar Gohar,3.0,28.0,1.0,0.0,3.0,9.333333333333334
Sohail Tanvir,0,3,0,0,0.0,,,,,,,
Fawad Ahmed,0,2,0,0,0.0,,,,,,,
Mohammad Nawaz (3),15,5,1,1,300.0,,,,,,,
