batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
L Ronchi,64,43,7,3,148.8372093023256,Sohail Tanvir,4.0,19.0,2.0,0.0,1.0,4.75
CS Delport,25,27,4,0,92.5925925925926,Mohammad Nawaz (3),4.0,27.0,1.0,0.0,0.0,6.75
PD Salt,2,3,0,0,66.66666666666666,DJ Bravo,4.0,29.0,1.0,0.0,0.0,7.25
Asif Ali,0,2,0,0,0.0,Mohammad Hasnain,4.0,32.0,2.0,0.0,0.0,8.0
SR Patel,14,15,1,0,93.33333333333333,Fawad Ahmed,4.0,26.0,3.0,0.0,0.0,6.5
Rizwan Hussain,7,10,0,0,70.0,,,,,,,
Faheem Ashraf,2,2,0,0,100.0,,,,,,,
Shadab Khan,8,7,1,0,114.28571428571428,,,,,,,
Amad Butt,0,1,0,0,0.0,,,,,,,
Zafar Gohar,9,9,0,1,100.0,,,,,,,
Mohammad Sami,1,1,0,0,100.0,,,,,,,
