batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Charles,31,35,3,0,88.57142857142857,GH Worker,2.0,19.0,0.0,0.0,0.0,9.5
AD Hales,16,16,1,2,100.0,Zahir Khan,3.0,11.0,1.0,0.0,2.0,3.6666666666666665
JP Greaves,6,12,0,0,50.0,JW Dernbach,2.0,7.0,0.0,0.0,1.0,3.5
JP Duminy,3,5,0,0,60.0,I Khan (2),4.0,19.0,3.0,0.0,0.0,4.75
JL Carter,17,15,2,0,113.33333333333333,DR Smith,3.0,22.0,2.0,0.0,0.0,7.333333333333333
JO Holder,2,7,0,0,28.57142857142857,Ramaal Lewis,2.0,11.0,0.0,0.0,0.0,5.5
AR Nurse,4,6,0,0,66.66666666666666,SK Springer,4.0,32.0,3.0,0.0,2.0,8.0
RS Primus,2,4,0,0,50.0,,,,,,,
RA Reifer,26,12,2,2,216.66666666666666,,,,,,,
S Lamichhane,9,8,1,0,112.5,,,,,,,
