batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Jatinder Singh,29,28,3,0,103.57142857142858,CW Perchard,4.0,20.0,0.0,0.0,0.0,5.0
Khawar Ali,1,2,0,0,50.0,DG Blampied,4.0,27.0,3.0,0.0,0.0,6.75
Aqib Ilyas,4,2,1,0,200.0,EJB Miles,4.0,22.0,3.0,0.0,0.0,5.5
Aamir Kaleem,0,3,0,0,0.0,NA Greenwood,1.0,10.0,0.0,0.0,0.0,10.0
Zeeshan Maqsood,56,47,6,0,119.14893617021276,B Ward,4.0,28.0,0.0,0.0,0.0,7.0
Suraj Kumar,4,10,0,0,40.0,BDH Stevens,1.0,5.0,0.0,0.0,0.0,5.0
Sandeep Goud,17,16,1,0,106.25,AW Hawkins-Kay,2.0,14.0,2.0,0.0,0.0,7.0
Khurram Nawaz,1,2,0,0,50.0,,,,,,,
Kaleemullah,9,6,0,1,150.0,,,,,,,
Mohammad Nadeem,4,3,0,0,133.33333333333331,,,,,,,
Bilal Khan,1,1,0,0,100.0,,,,,,,
