batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
LS Livingstone,11,9,1,0,122.22222222222223,Yasir Shah,2.0,11.0,0.0,0.0,0.0,5.5
Babar Azam,28,38,2,0,73.68421052631578,Shaheen Shah Afridi,4.0,20.0,2.0,0.0,0.0,5.0
Mohammad Rizwan,34,33,1,1,103.03030303030303,GC Viljoen,4.0,30.0,1.0,0.0,2.0,7.5
CA Ingram,16,14,1,0,114.28571428571428,Rahat Ali,4.0,19.0,3.0,0.0,0.0,4.75
RS Bopara,1,5,0,0,20.0,Mohammad Hafeez,2.0,12.0,0.0,0.0,0.0,6.0
Imad Wasim,17,10,1,1,170.0,Haris Rauf,4.0,23.0,4.0,0.0,0.0,5.75
Sikandar Raza,5,6,1,0,83.33333333333334,Sohail Akhtar,0.0,0.0,0.0,0.0,0.0,
Sohail Khan,0,1,0,0,0.0,,,,,,,
Mohammad Amir,1,2,0,0,50.0,,,,,,,
Usman Shinwari,0,1,0,0,0.0,,,,,,,
