batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Shan Masood,20,20,2,0,100.0,Imad Wasim,4.0,22.0,0.0,0.0,0.0,5.5
TJ Moores,1,6,0,0,16.666666666666664,Mohammad Amir,4.0,25.0,4.0,0.0,4.0,6.25
LJ Evans,49,39,7,0,125.64102564102564,Sohail Khan,4.0,57.0,2.0,0.0,1.0,14.25
Shoaib Malik,52,28,5,2,185.71428571428572,Umer Khan,2.0,9.0,1.0,0.0,0.0,4.5
AD Russell,9,5,0,1,180.0,Usman Shinwari,4.0,26.0,1.0,0.0,0.0,6.5
Shahid Afridi,14,8,3,0,175.0,RS Bopara,2.0,33.0,0.0,0.0,0.0,16.5
Hammad Azam,12,6,1,1,200.0,,,,,,,
CJ Green,6,5,0,0,120.0,,,,,,,
Mohammad Ilyas,0,1,0,0,0.0,,,,,,,
Mohammad Irfan,4,2,1,0,200.0,,,,,,,
