batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
LS Livingstone,0,1,0,0,0.0,Hasan Ali,4.0,15.0,4.0,0.0,1.0,3.75
Babar Azam,1,4,0,0,25.0,Umaid Asif,4.0,23.0,1.0,0.0,0.0,5.75
BR Dunk,12,15,2,0,80.0,Wahab Riaz,4.0,29.0,1.0,0.0,0.0,7.25
CA Ingram,21,14,4,0,150.0,Ibtisam Sheikh,1.0,10.0,0.0,0.0,0.0,10.0
Sikandar Raza,14,26,1,0,53.84615384615385,KA Pollard,4.0,18.0,1.0,0.0,0.0,4.5
Imad Wasim,26,27,1,0,96.29629629629629,LA Dawson,3.0,13.0,0.0,0.0,0.0,4.333333333333333
Mohammad Rizwan,32,27,2,0,118.5185185185185,,,,,,,
Aamer Yamin,0,1,0,0,0.0,,,,,,,
Mohammad Amir,0,1,0,0,0.0,,,,,,,
Umer Khan,0,1,0,0,0.0,,,,,,,
Usman Shinwari,1,3,0,0,33.33333333333333,,,,,,,
