batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,2,6,0,0,33.33333333333333,DA Payne,4.0,31.0,1.0,0.0,0.0,7.75
Z Crawley,10,7,2,0,142.85714285714286,AJ Tye,4.0,31.0,1.0,0.0,2.0,7.75
F du Plessis,60,45,7,0,133.33333333333331,CJ Liddle,2.0,22.0,1.0,0.0,11.0,11.0
SW Billings,55,40,2,3,137.5,GL van Buuren,4.0,36.0,0.0,0.0,0.0,9.0
HG Kuhn,4,7,0,0,57.14285714285714,TMJ Smith,2.0,14.0,0.0,0.0,0.0,7.0
AJ Blake,19,8,2,1,237.5,RF Higgins,4.0,36.0,3.0,0.0,1.0,9.0
GC Viljoen,3,3,0,0,100.0,,,,,,,
OG Robinson,2,2,0,0,100.0,,,,,,,
Imran Qayyum,1,1,0,0,100.0,,,,,,,
ME Claydon,0,1,0,0,0.0,,,,,,,
