batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AHT Donald,7,10,1,0,70.0,Mohammad Nabi,4.0,17.0,1.0,0.0,0.0,4.25
RR Rossouw,15,10,0,2,150.0,AF Milne,4.0,21.0,3.0,0.0,0.0,5.25
JM Vince,44,47,2,0,93.61702127659575,FJ Klaassen,4.0,42.0,1.0,4.0,0.0,9.5
SA Northeast,1,2,0,0,50.0,GC Viljoen,4.0,15.0,3.0,0.0,0.0,3.75
LA Dawson,12,22,1,0,54.54545454545454,G Stewart,4.0,23.0,2.0,0.0,0.0,5.75
CH Morris,17,7,0,2,242.85714285714283,DJ Bell-Drummond,0.0,14.0,0.0,2.0,0.0,inf
JK Fuller,17,11,2,1,154.54545454545453,,,,,,,
LD McManus,2,3,0,0,66.66666666666666,,,,,,,
BJ Taylor,2,3,0,0,66.66666666666666,,,,,,,
CP Wood,5,3,1,0,166.66666666666669,,,,,,,
KJ Abbott,4,1,1,0,400.0,,,,,,,
