batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
IA Karim,5,6,1,0,83.33333333333334,JN Frylinck,4.0,34.0,1.0,0.0,1.0,8.5
AR Gandhi,22,27,1,0,81.48148148148148,C Viljoen,4.0,14.0,1.0,0.0,0.0,3.5
DM Gondaria,7,8,1,0,87.5,B Shikongo,3.0,13.0,0.0,0.0,0.0,4.333333333333333
JS Kundi,2,5,0,0,40.0,JJ Smit,4.0,19.0,3.0,0.0,2.0,4.75
CO Obuya,7,16,0,0,43.75,BM Scholtz,4.0,12.0,4.0,0.0,1.0,3.0
RR Patel,30,28,3,1,107.14285714285714,,,,,,,
SO Ngoche,2,4,0,0,50.0,,,,,,,
NM Odhiambo,10,12,0,0,83.33333333333334,,,,,,,
LN Oluoch,3,5,0,0,60.0,,,,,,,
SR Bhudia,0,1,0,0,0.0,,,,,,,
E Otieno,0,1,0,0,0.0,,,,,,,
