batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DM Gondaria,10,13,0,0,76.92307692307693,RE van der Merwe,3.0,15.0,1.0,0.0,0.0,5.0
AA Obanda,10,15,0,0,66.66666666666666,PA van Meekeren,4.0,27.0,3.0,0.0,1.0,6.75
JS Kundi,6,13,1,0,46.15384615384615,FJ Klaassen,3.0,23.0,2.0,0.0,0.0,7.666666666666667
CO Obuya,63,40,7,2,157.5,BD Glover,4.0,19.0,1.0,0.0,1.0,4.75
RR Patel,26,20,2,1,130.0,T van der Gugten,3.0,23.0,1.0,0.0,1.0,7.666666666666667
SO Ngoche,7,6,1,0,116.66666666666667,PM Seelaar,3.0,25.0,0.0,0.0,0.0,8.333333333333334
NM Odhiambo,0,2,0,0,0.0,,,,,,,
LN Oluoch,2,4,0,0,50.0,,,,,,,
IA Karim,2,4,0,0,50.0,,,,,,,
E Otieno,3,3,0,0,100.0,,,,,,,
