batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,3,6,0,0,50.0,LN Oluoch,4.0,14.0,2.0,0.0,1.0,3.5
A Vala,2,2,0,0,100.0,EB Ringera,4.0,18.0,4.0,0.0,1.0,4.5
L Siaka,5,3,1,0,166.66666666666669,SR Bhudia,3.0,24.0,0.0,0.0,2.0,8.0
CJA Amini,0,1,0,0,0.0,SO Ngoche,4.0,26.0,1.0,0.0,1.0,6.5
S Bau,17,33,1,0,51.515151515151516,CO Obuya,3.0,17.0,2.0,0.0,7.0,5.666666666666667
R Hekure,1,3,0,0,33.33333333333333,JS Kundi,1.0,6.0,0.0,0.0,0.0,6.0
K Doriga,4,5,0,0,80.0,P Kerai,1.0,11.0,0.0,0.0,0.0,11.0
N Vanua,54,48,3,2,112.5,,,,,,,
D Ravu,0,1,0,0,0.0,,,,,,,
J Kila,12,7,0,2,171.42857142857142,,,,,,,
N Pokana,7,8,0,0,87.5,,,,,,,
