batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
IA Karim,29,22,4,0,131.8181818181818,N Vanua,3.0,19.0,2.0,0.0,1.0,6.333333333333333
DM Gondaria,1,3,0,0,33.33333333333333,N Pokana,4.0,21.0,3.0,0.0,4.0,5.25
CO Obuya,10,19,0,0,52.63157894736842,D Ravu,4.0,14.0,2.0,0.0,0.0,3.5
RN Patel,0,7,0,0,0.0,CJA Amini,4.0,11.0,0.0,0.0,0.0,2.75
SR Bhudia,3,14,0,0,21.428571428571427,A Vala,4.0,7.0,3.0,0.0,0.0,1.75
AR Gandhi,14,25,0,0,56.00000000000001,,,,,,,
JS Kundi,1,3,0,0,33.33333333333333,,,,,,,
SO Ngoche,5,7,0,0,71.42857142857143,,,,,,,
LN Oluoch,3,8,0,0,37.5,,,,,,,
EB Ringera,1,3,0,0,33.33333333333333,,,,,,,
P Kerai,0,1,0,0,0.0,,,,,,,
