batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
IA Karim,51,46,7,0,110.86956521739131,MRJ Watt,4.0,30.0,0.0,0.0,1.0,7.5
AA Obanda,12,18,1,0,66.66666666666666,SM Sharif,4.0,28.0,2.0,0.0,2.0,7.0
DM Gondaria,26,16,1,2,162.5,JH Davey,4.0,25.0,2.0,0.0,2.0,6.25
CO Obuya,16,10,1,1,160.0,Hamza Tahir,3.0,28.0,0.0,0.0,1.0,9.333333333333334
RR Patel,1,2,0,0,50.0,TB Sole,2.0,8.0,1.0,0.0,0.0,4.0
SO Ngoche,10,12,1,0,83.33333333333334,RD Berrington,3.0,17.0,3.0,0.0,1.0,5.666666666666667
JS Kundi,0,1,0,0,0.0,,,,,,,
NM Odhiambo,5,8,0,0,62.5,,,,,,,
LN Oluoch,7,6,1,0,116.66666666666667,,,,,,,
E Otieno,1,1,0,0,100.0,,,,,,,
