batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KL Rahul,15,11,2,1,136.36363636363635,K Rabada,4.0,32.0,2.0,0.0,0.0,8.0
SM Curran,20,10,3,1,200.0,CH Morris,4.0,30.0,3.0,0.0,1.0,7.5
MA Agarwal,6,9,0,0,66.66666666666666,Avesh Khan,3.0,30.0,0.0,0.0,1.0,10.0
SN Khan,39,29,6,0,134.48275862068965,S Lamichhane,4.0,27.0,2.0,0.0,0.0,6.75
DA Miller,43,30,4,2,143.33333333333334,HV Patel,4.0,37.0,0.0,0.0,6.0,9.25
Mandeep Singh,29,21,2,1,138.0952380952381,GH Vihari,1.0,9.0,0.0,0.0,0.0,9.0
GC Viljoen,1,3,0,0,33.33333333333333,,,,,,,
R Ashwin,3,4,0,0,75.0,,,,,,,
M Ashwin,1,2,0,0,50.0,,,,,,,
Mohammed Shami,0,1,0,0,0.0,,,,,,,
