batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PP Shaw,0,1,0,0,0.0,R Ashwin,4.0,31.0,2.0,0.0,3.0,7.75
S Dhawan,30,25,4,0,120.0,SM Curran,3.0,11.0,4.0,0.0,1.0,3.6666666666666665
SS Iyer,28,22,5,0,127.27272727272727,Mohammed Shami,4.0,27.0,2.0,0.0,0.0,6.75
RR Pant,39,26,3,2,150.0,GC Viljoen,3.0,22.0,1.0,0.0,0.0,7.333333333333333
CA Ingram,38,29,4,1,131.0344827586207,Mujeeb Ur Rahman,4.0,36.0,0.0,0.0,1.0,9.0
CH Morris,0,1,0,0,0.0,M Ashwin,2.0,19.0,0.0,0.0,0.0,9.5
GH Vihari,2,5,0,0,40.0,,,,,,,
HV Patel,0,2,0,0,0.0,,,,,,,
Avesh Khan,4,3,1,0,133.33333333333331,,,,,,,
K Rabada,0,1,0,0,0.0,,,,,,,
S Lamichhane,0,1,0,0,0.0,,,,,,,
