batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,17,23,2,0,73.91304347826086,Muhammad Kashif,4.0,24.0,1.0,0.0,0.0,6.0
Anwar Arudin,8,6,0,1,133.33333333333331,Ilyas Ahmed,4.0,23.0,1.0,0.0,0.0,5.75
Syed Aziz,34,28,4,1,121.42857142857142,Mohammad Ahsan,3.0,31.0,2.0,0.0,0.0,10.333333333333334
Shafiq Sharif,38,27,6,0,140.74074074074073,Adnan Idrees,2.0,24.0,0.0,0.0,1.0,12.0
Ahmed Faiz Mohammad Noor,15,13,0,1,115.38461538461537,Nawaf Ahmed,2.0,16.0,0.0,0.0,0.0,8.0
Aminuddin Ramly,33,12,1,4,275.0,MNM Aslam,2.0,17.0,1.0,0.0,0.0,8.5
M Syahadat Ramli,8,5,1,0,160.0,Shiraz Khan,3.0,22.0,1.0,0.0,0.0,7.333333333333333
S Muniandy,0,1,0,0,0.0,,,,,,,
Fitri Sham,1,2,0,0,50.0,,,,,,,
Anwar Rahman,1,2,0,0,50.0,,,,,,,
Pavandeep Singh,1,1,0,0,100.0,,,,,,,
