batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
R Sandaruwan,0,3,0,0,0.0,Syed Aziz,3.0,33.0,2.0,0.0,1.0,11.0
S Varathappan,9,10,2,0,90.0,Pavandeep Singh,4.0,19.0,2.0,0.0,2.0,4.75
Adnan Idrees,12,5,3,0,240.0,Fitri Sham,3.0,14.0,2.0,0.0,0.0,4.666666666666667
Muhammad Kashif,51,46,3,2,110.86956521739131,M Syahadat Ramli,4.0,33.0,3.0,0.0,1.0,8.25
Usman Waheed,16,19,1,0,84.21052631578947,S Muniandy,2.0,14.0,0.0,0.0,1.0,7.0
Shiraz Khan,5,8,0,0,62.5,Anwar Rahman,2.0,7.0,1.0,0.0,0.0,3.5
Bilal Tahir,7,7,0,0,100.0,,,,,,,
MNM Aslam,6,3,1,0,200.0,,,,,,,
Mohammad Ahsan,8,5,0,1,160.0,,,,,,,
Ilyas Ahmed,1,2,0,0,50.0,,,,,,,
