batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,38,20,4,3,190.0,Mohammad Sami,4.0,34.0,0.0,0.0,0.0,8.5
AP Devcich,18,13,2,1,138.46153846153845,Muhammad Musa,3.0,46.0,0.0,0.0,0.0,15.333333333333334
MH Wessels,20,11,2,1,181.8181818181818,Rumman Raees,4.0,45.0,1.0,2.0,2.0,10.75
Haris Sohail,0,2,0,0,0.0,Faheem Ashraf,4.0,19.0,6.0,0.0,0.0,4.75
Sohail Akhtar,75,34,8,5,220.58823529411765,Shadab Khan,4.0,37.0,1.0,0.0,1.0,9.25
D Wiese,12,14,1,0,85.71428571428571,Hussain Talat,1.0,5.0,0.0,0.0,0.0,5.0
Agha Salman,3,6,0,0,50.0,,,,,,,
Shaheen Shah Afridi,1,7,0,0,14.285714285714285,,,,,,,
S Lamichhane,6,8,0,0,75.0,,,,,,,
Haris Rauf,7,5,0,1,140.0,,,,,,,
Rahat Ali,1,2,0,0,50.0,,,,,,,
