batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,6,8,1,0,75.0,Hasan Ali,4.0,15.0,4.0,0.0,0.0,3.75
Sohail Akhtar,6,9,1,0,66.66666666666666,Umaid Asif,2.0,17.0,0.0,0.0,0.0,8.5
AB de Villiers,14,8,3,0,175.0,Wahab Riaz,3.0,17.0,3.0,0.0,2.0,5.666666666666667
AP Devcich,18,19,3,0,94.73684210526315,Ibtisam Sheikh,4.0,14.0,2.0,0.0,0.0,3.5
BRM Taylor,1,2,0,0,50.0,KA Pollard,2.0,10.0,1.0,0.0,0.0,5.0
Agha Salman,13,18,1,0,72.22222222222221,,,,,,,
GC Viljoen,1,3,0,0,33.33333333333333,,,,,,,
Hassan Khan,7,9,1,0,77.77777777777779,,,,,,,
Shaheen Shah Afridi,4,12,0,0,33.33333333333333,,,,,,,
Haris Rauf,0,1,0,0,0.0,,,,,,,
Rahat Ali,1,2,0,0,50.0,,,,,,,
