batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SR Watson,7,7,1,0,100.0,Yasir Shah,4.0,32.0,1.0,0.0,0.0,8.0
Ahsan Ali,33,25,3,2,132.0,Shaheen Shah Afridi,3.0,16.0,1.0,0.0,5.0,5.333333333333333
RR Rossouw,8,7,1,0,114.28571428571428,S Lamichhane,4.0,10.0,4.0,0.0,0.0,2.5
Umar Akmal,1,2,0,0,50.0,D Wiese,2.0,18.0,0.0,0.0,0.0,9.0
Danish Aziz,1,7,0,0,14.285714285714285,Fakhar Zaman,2.0,7.0,0.0,0.0,0.0,3.5
Sarfraz Ahmed,29,27,1,0,107.40740740740742,Haris Rauf,4.0,23.0,2.0,0.0,3.0,5.75
Mohammad Nawaz (3),12,18,1,0,66.66666666666666,,,,,,,
Sohail Tanvir,7,17,0,0,41.17647058823529,,,,,,,
Fawad Ahmed,0,3,0,0,0.0,,,,,,,
Mohammad Hasnain,0,2,0,0,0.0,,,,,,,
