batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AL Davies,0,2,0,0,0.0,LV van Beek,2.0,16.0,1.0,0.0,0.0,8.0
LS Livingstone,58,36,4,3,161.11111111111111,R Rampaul,4.0,19.0,3.0,0.0,0.0,4.75
SJ Croft,16,14,3,0,114.28571428571428,FJ Hudson-Prentice,3.0,31.0,1.0,2.0,1.0,9.666666666666666
JJ Bohannon,0,1,0,0,0.0,AL Hughes,3.0,26.0,1.0,0.0,2.0,8.666666666666666
KK Jennings,21,26,1,0,80.76923076923077,LM Reece,4.0,31.0,1.0,0.0,2.0,7.75
GJ Maxwell,8,7,1,0,114.28571428571428,MJJ Critchley,4.0,25.0,1.0,0.0,1.0,6.25
DJ Vilas,19,12,3,0,158.33333333333331,,,,,,,
JP Faulkner,14,10,0,1,140.0,,,,,,,
DJ Lamb,4,9,0,0,44.44444444444444,,,,,,,
LJ Hurt,0,4,0,0,0.0,,,,,,,
