batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
S Steel,58,46,0,4,126.08695652173914,SJ Croft,1.0,3.0,0.0,0.0,0.0,3.0
DJM Short,5,7,1,0,71.42857142857143,TJ Lester,2.0,15.0,0.0,0.0,0.0,7.5
BA Raine,5,7,0,0,71.42857142857143,RJ Gleeson,3.0,15.0,2.0,0.0,0.0,5.0
AZ Lees,12,11,1,0,109.09090909090908,JP Faulkner,2.0,20.0,1.0,0.0,0.0,10.0
SW Poynter,5,7,0,0,71.42857142857143,DJ Lamb,4.0,25.0,2.0,2.0,1.0,5.75
G Clark,2,3,0,0,66.66666666666666,GJ Maxwell,1.0,8.0,0.0,0.0,0.0,8.0
JTA Burnham,4,6,0,0,66.66666666666666,MW Parkinson,4.0,30.0,3.0,0.0,0.0,7.5
L Trevaskis,7,4,0,1,175.0,,,,,,,
MJ Potts,3,3,0,0,100.0,,,,,,,
BA Carse,11,5,0,1,220.00000000000003,,,,,,,
NJ Rimmington,1,2,0,0,50.0,,,,,,,
