batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Clarke,0,1,0,0,0.0,RJ Gleeson,3.0,28.0,2.0,0.0,1.0,9.333333333333334
AD Hales,29,18,5,0,161.11111111111111,S Mahmood,3.0,30.0,0.0,0.0,0.0,10.0
BM Duckett,13,15,2,0,86.66666666666667,JP Faulkner,4.0,32.0,2.0,0.0,1.0,8.0
SR Patel,34,29,5,0,117.24137931034481,MW Parkinson,4.0,22.0,3.0,0.0,0.0,5.5
TJ Moores,18,17,1,0,105.88235294117648,LS Livingstone,4.0,22.0,2.0,0.0,0.0,5.5
DT Christian,41,24,1,3,170.83333333333331,GJ Maxwell,2.0,13.0,0.0,0.0,0.0,6.5
Imad Wasim,1,2,0,0,50.0,,,,,,,
L Wood,5,5,0,0,100.0,,,,,,,
M Carter,4,8,0,0,50.0,,,,,,,
ZJ Chappell,0,1,0,0,0.0,,,,,,,
