batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,37,33,3,1,112.12121212121211,S Mahmood,2.0,24.0,0.0,0.0,0.0,12.0
MH Wessels,3,9,0,0,33.33333333333333,RJ Gleeson,3.0,13.0,2.0,0.0,0.0,4.333333333333333
CJ Ferguson,12,10,2,0,120.0,JP Faulkner,4.0,21.0,2.0,0.0,1.0,5.25
BL D'Oliveira,13,15,1,0,86.66666666666667,MW Parkinson,4.0,29.0,2.0,0.0,0.0,7.25
OB Cox,18,19,0,0,94.73684210526315,GJ Maxwell,3.0,17.0,0.0,0.0,0.0,5.666666666666667
RA Whiteley,3,4,0,0,75.0,LS Livingstone,4.0,21.0,3.0,0.0,0.0,5.25
EG Barnard,16,16,1,0,100.0,,,,,,,
WD Parnell,19,9,1,2,211.11111111111111,,,,,,,
DKH Mitchell,0,1,0,0,0.0,,,,,,,
DY Pennington,3,4,0,0,75.0,,,,,,,
