batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DP Sibley,11,10,1,0,110.00000000000001,CF Parkinson,4.0,31.0,0.0,0.0,0.0,7.75
MGK Burgess,10,8,2,0,125.0,D Klein,2.0,18.0,0.0,0.0,0.0,9.0
SR Hain,61,44,8,0,138.63636363636365,CN Ackermann,4.0,18.0,7.0,0.0,0.0,4.5
AJ Hose,34,24,2,2,141.66666666666669,GT Griffiths,3.0,21.0,1.0,0.0,0.0,7.0
WMH Rhodes,2,4,0,0,50.0,WS Davis,4.0,20.0,2.0,0.0,1.0,5.0
L Banks,2,2,0,0,100.0,AM Lilley,1.0,22.0,0.0,0.0,1.0,22.0
AT Thomson,0,2,0,0,0.0,,,,,,,
HJH Brookes,6,5,1,0,120.0,,,,,,,
JS Patel,1,2,0,0,50.0,,,,,,,
JC Wainman,1,1,0,0,100.0,,,,,,,
FH Edwards,0,4,0,0,0.0,,,,,,,
