batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Cosgrove,45,26,6,1,173.0769230769231,LV van Beek,2.0,20.0,1.0,0.0,0.0,10.0
HJ Swindells,5,9,0,0,55.55555555555556,R Rampaul,4.0,23.0,0.0,0.0,0.0,5.75
AM Lilley,8,5,0,1,160.0,FJ Hudson-Prentice,4.0,33.0,1.0,0.0,0.0,8.25
CN Ackermann,9,12,1,0,75.0,AL Hughes,4.0,17.0,0.0,0.0,0.0,4.25
LJ Hill,16,19,2,0,84.21052631578947,MJJ Critchley,4.0,18.0,2.0,0.0,0.0,4.5
AM Ali,8,13,0,0,61.53846153846154,LM Reece,2.0,9.0,2.0,0.0,1.0,4.5
CF Parkinson,6,9,0,0,66.66666666666666,,,,,,,
BWM Mike,9,10,0,0,90.0,,,,,,,
D Klein,9,11,0,0,81.81818181818183,,,,,,,
GT Griffiths,4,6,0,0,66.66666666666666,,,,,,,
