batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HJ Swindells,2,5,0,0,40.0,JJ Cobb,4.0,17.0,0.0,0.0,0.0,4.25
MJ Cosgrove,32,33,3,0,96.96969696969697,Faheem Ashraf,4.0,18.0,1.0,0.0,0.0,4.5
AM Lilley,8,5,1,0,160.0,BW Sanderson,4.0,28.0,4.0,0.0,0.0,7.0
HE Dearden,37,31,3,1,119.35483870967742,NL Buck,2.0,21.0,0.0,0.0,0.0,10.5
CN Ackermann,18,12,3,0,150.0,MT Coles,1.0,9.0,0.0,0.0,0.0,9.0
LJ Hill,7,6,1,0,116.66666666666667,GG White,2.0,21.0,1.0,0.0,0.0,10.5
AM Ali,9,9,0,0,100.0,D Pretorius,3.0,17.0,3.0,0.0,0.0,5.666666666666667
CF Parkinson,10,11,1,0,90.9090909090909,,,,,,,
D Klein,4,7,0,0,57.14285714285714,,,,,,,
GT Griffiths,4,1,1,0,400.0,,,,,,,
