batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HJ Swindells,61,46,6,0,132.6086956521739,M Carter,4.0,31.0,1.0,0.0,6.0,7.75
MJ Cosgrove,14,13,1,0,107.6923076923077,SR Patel,4.0,37.0,0.0,0.0,0.0,9.25
AM Lilley,0,2,0,0,0.0,LJ Fletcher,3.0,17.0,3.0,0.0,1.0,5.666666666666667
CN Ackermann,42,31,5,0,135.48387096774192,HF Gurney,4.0,29.0,2.0,0.0,2.0,7.25
LJ Hill,12,11,1,0,109.09090909090908,JT Ball,3.0,23.0,1.0,0.0,0.0,7.666666666666667
HE Dearden,1,2,0,0,50.0,DT Christian,2.0,19.0,1.0,0.0,1.0,9.5
AM Ali,10,8,1,0,125.0,,,,,,,
CF Parkinson,4,4,0,0,100.0,,,,,,,
D Klein,1,2,0,0,50.0,,,,,,,
GT Griffiths,1,1,0,0,100.0,,,,,,,
