batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,57,49,7,1,116.3265306122449,Sompal Kami,3.0,15.0,1.0,1.0,1.0,4.666666666666667
Syed Aziz,0,1,0,0,0.0,Karan KC,4.0,27.0,3.0,0.0,0.0,6.75
Fitri Sham,12,13,1,0,92.3076923076923,LN Rajbanshi,4.0,28.0,0.0,0.0,0.0,7.0
Ahmed Faiz Mohammad Noor,45,39,0,2,115.38461538461537,S Lamichhane,4.0,25.0,2.0,0.0,0.0,6.25
Shafiq Sharif,2,7,0,0,28.57142857142857,B Regmi,4.0,28.0,2.0,0.0,0.0,7.0
Aminuddin Ramly,0,2,0,0,0.0,P Khadka,1.0,4.0,0.0,0.0,0.0,4.0
S Muniandy,0,1,0,0,0.0,,,,,,,
M Syahadat Ramli,8,6,0,1,133.33333333333331,,,,,,,
NCK Liyanage,0,1,0,0,0.0,,,,,,,
Anwar Rahman,0,1,0,0,0.0,,,,,,,
Pavandeep Singh,1,1,0,0,100.0,,,,,,,
