batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,49,46,4,1,106.5217391304348,Gayan Munaweera,4.0,31.0,2.0,0.0,4.0,7.75
Syed Aziz,5,5,1,0,100.0,Musawar Shah,2.0,17.0,0.0,0.0,0.0,8.5
Ahmed Faiz Mohammad Noor,23,14,5,0,164.28571428571428,Mohammed Nadeem,4.0,23.0,3.0,0.0,0.0,5.75
Shafiq Sharif,36,21,5,1,171.42857142857142,Tamoor Sajjad,3.0,28.0,0.0,0.0,0.0,9.333333333333334
M Syahadat Ramli,2,4,0,0,50.0,Iqbal Hussain,3.0,23.0,3.0,0.0,0.0,7.666666666666667
S Muniandy,14,10,1,1,140.0,Nouman Sarwar,3.0,21.0,1.0,0.0,0.0,7.0
Aminuddin Ramly,6,6,0,0,100.0,,,,,,,
Fitri Sham,3,4,0,0,75.0,,,,,,,
Anwar Rahman,1,2,0,0,50.0,,,,,,,
Pavandeep Singh,0,3,0,0,0.0,,,,,,,
