batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,1,3,0,0,33.33333333333333,AL Stephen,3.0,14.0,0.0,0.0,0.0,4.666666666666667
Syed Aziz,15,16,1,1,93.75,JW Chilia,4.0,14.0,0.0,0.0,0.0,3.5
Zubaidi Zulkifle,22,17,1,2,129.41176470588235,W Viraliliu,2.0,17.0,0.0,0.0,1.0,8.5
Ainool Hafizs,5,3,1,0,166.66666666666669,N Nipiko,4.0,22.0,3.0,0.0,4.0,5.5
S Muniandy,27,21,1,2,128.57142857142858,SH Obed,3.0,30.0,1.0,0.0,0.0,10.0
Mohamed Arief,17,19,2,0,89.47368421052632,A Mansale,4.0,34.0,3.0,1.0,0.0,8.25
Nazril Rahman,5,5,1,0,100.0,,,,,,,
Ainool Haqqiem,12,13,0,0,92.3076923076923,,,,,,,
Fitri Sham,15,17,1,0,88.23529411764706,,,,,,,
Muhammad Wafiq,6,7,1,0,85.71428571428571,,,,,,,
