batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Rasu,13,21,1,1,61.904761904761905,Pavandeep Singh,3.0,12.0,3.0,0.0,0.0,4.0
A Mansale,0,4,0,0,0.0,Muhammad Wafiq,4.0,10.0,3.0,1.0,3.0,2.25
PK Matautaava,12,9,1,1,133.33333333333331,Fitri Sham,3.0,22.0,2.0,0.0,0.0,7.333333333333333
N Nipiko,42,30,1,2,140.0,S Muniandy,3.0,34.0,1.0,0.0,7.0,11.333333333333334
C Tommy,18,19,1,1,94.73684210526315,Virandeep Singh,2.0,15.0,0.0,0.0,0.0,7.5
R Tari,0,3,0,0,0.0,Nazril Rahman,2.0,14.0,0.0,0.0,0.0,7.0
J Vira,2,4,0,0,50.0,,,,,,,
W Viraliliu,4,5,0,0,80.0,,,,,,,
SH Obed,3,3,0,0,100.0,,,,,,,
JW Chilia,1,4,0,0,25.0,,,,,,,
AL Stephen,1,2,0,0,50.0,,,,,,,
