batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MW Harvey,1,5,0,0,20.0,LN O'Connor,4.0,21.0,2.0,0.0,1.0,5.25
CL White,17,22,1,0,77.27272727272727,MG Neser,3.0,10.0,2.0,0.0,1.0,3.3333333333333335
SB Harper,1,3,0,0,33.33333333333333,B Stanlake,4.0,27.0,2.0,0.0,0.0,6.75
TLW Cooper,16,12,1,1,133.33333333333331,B Laughlin,2.0,29.0,1.0,0.0,0.0,14.5
BJ Webster,33,36,2,0,91.66666666666666,Rashid Khan,4.0,18.0,1.0,0.0,1.0,4.5
Mohammad Nabi,2,4,0,0,50.0,CA Ingram,3.0,20.0,1.0,0.0,0.0,6.666666666666667
DT Christian,3,4,0,0,75.0,,,,,,,
JD Wildermuth,24,20,1,1,120.0,,,,,,,
CJ Boyce,18,8,1,2,225.0,,,,,,,
KW Richardson,4,4,0,0,100.0,,,,,,,
Usman Shinwari,3,2,0,0,150.0,,,,,,,
