batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MW Harvey,13,13,0,1,100.0,MT Renshaw,2.0,11.0,0.0,0.0,0.0,5.5
MS Harris,2,7,0,0,28.57142857142857,Mujeeb Ur Rahman,4.0,16.0,1.0,0.0,0.0,4.0
SB Harper,6,9,1,0,66.66666666666666,JK Lalor,3.0,12.0,2.0,0.0,0.0,4.0
TLW Cooper,10,11,1,0,90.9090909090909,B Doggett,3.0,16.0,3.0,0.0,0.0,5.333333333333333
BJ Webster,9,14,1,0,64.28571428571429,MJ Swepson,4.0,22.0,3.0,0.0,2.0,5.5
Mohammad Nabi,9,8,0,1,112.5,BCJ Cutting,2.0,13.0,1.0,0.0,0.0,6.5
DT Christian,7,13,0,0,53.84615384615385,,,,,,,
JD Wildermuth,1,2,0,0,50.0,,,,,,,
CJ Boyce,25,21,1,2,119.04761904761905,,,,,,,
JM Mennie,5,8,0,0,62.5,,,,,,,
HF Gurney,1,1,0,0,100.0,,,,,,,
