batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MS Harris,15,10,3,0,150.0,JM Bird,4.0,22.0,2.0,0.0,0.0,5.5
AJ Finch,14,9,0,2,155.55555555555557,MP Stoinis,4.0,19.0,3.0,0.0,0.0,4.75
SB Harper,0,3,0,0,0.0,LE Plunkett,3.0,21.0,2.0,0.0,0.0,7.0
CL White,1,5,0,0,20.0,A Zampa,4.0,29.0,2.0,0.0,0.0,7.25
TLW Cooper,24,22,2,0,109.09090909090908,DJ Bravo,4.0,25.0,1.0,0.0,2.0,6.25
Mohammad Nabi,28,33,2,0,84.84848484848484,TL O'Connell,1.0,4.0,0.0,0.0,0.0,4.0
DT Christian,18,14,1,1,128.57142857142858,,,,,,,
JD Wildermuth,5,11,0,0,45.45454545454545,,,,,,,
CJ Boyce,9,6,0,1,150.0,,,,,,,
KW Richardson,4,3,0,0,133.33333333333331,,,,,,,
HF Gurney,0,1,0,0,0.0,,,,,,,
