batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SR Watson,4,4,1,0,100.0,KW Richardson,4.0,27.0,3.0,0.0,0.0,6.75
JJS Sangha,2,6,0,0,33.33333333333333,CP Tremain,4.0,36.0,1.0,0.0,0.0,9.0
CJ Ferguson,28,30,3,0,93.33333333333333,HF Gurney,4.0,21.0,1.0,0.0,2.0,5.25
AP Devcich,17,17,2,0,100.0,CJ Boyce,3.0,17.0,2.0,0.0,1.0,5.666666666666667
CJ Green,1,1,0,0,100.0,DT Christian,4.0,9.0,1.0,0.0,0.0,2.25
BJ Holt,37,28,1,3,132.14285714285714,,,,,,,
DR Sams,10,13,1,0,76.92307692307693,,,,,,,
CJ Jordan,1,2,0,0,50.0,,,,,,,
GS Sandhu,4,7,0,0,57.14285714285714,,,,,,,
JD Cook,2,4,0,0,50.0,,,,,,,
Fawad Ahmed,1,3,0,0,33.33333333333333,,,,,,,
