batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AT Carey,30,23,3,0,130.43478260869566,GJ Maxwell,3.0,24.0,0.0,0.0,0.0,8.0
J Weatherald,3,8,0,0,37.5,JM Bird,4.0,21.0,0.0,0.0,1.0,5.25
JS Lehmann,40,32,4,0,125.0,LE Plunkett,4.0,21.0,3.0,0.0,2.0,5.25
CA Ingram,9,15,0,0,60.0,A Zampa,1.0,13.0,0.0,0.0,0.0,13.0
JW Wells,13,11,2,0,118.18181818181819,MP Stoinis,4.0,20.0,3.0,0.0,0.0,5.0
Rashid Khan,3,4,0,0,75.0,DJ Bravo,4.0,22.0,3.0,0.0,0.0,5.5
MG Neser,1,4,0,0,25.0,,,,,,,
B Laughlin,14,10,2,0,140.0,,,,,,,
MW Short,0,1,0,0,0.0,,,,,,,
LN O'Connor,2,5,0,0,40.0,,,,,,,
B Stanlake,3,5,0,0,60.0,,,,,,,
