batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MP Stoinis,43,29,4,1,148.27586206896552,MT Renshaw,2.0,15.0,0.0,0.0,0.0,7.5
BR Dunk,24,26,0,1,92.3076923076923,Mujeeb Ur Rahman,4.0,18.0,1.0,0.0,2.0,4.5
PSP Handscomb,6,10,0,0,60.0,JK Lalor,4.0,34.0,1.0,0.0,0.0,8.5
GJ Maxwell,3,4,0,0,75.0,B Doggett,4.0,30.0,2.0,0.0,3.0,7.5
NJ Maddinson,18,14,1,1,128.57142857142858,MJ Swepson,4.0,26.0,2.0,0.0,0.0,6.5
DJ Bravo,17,21,0,0,80.95238095238095,BCJ Cutting,2.0,10.0,2.0,0.0,0.0,5.0
EP Gulbis,0,2,0,0,0.0,,,,,,,
LE Plunkett,4,5,0,0,80.0,,,,,,,
TL O'Connell,9,6,1,0,150.0,,,,,,,
JM Bird,4,3,0,0,133.33333333333331,,,,,,,
