batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
M Bryant,24,18,5,0,133.33333333333331,NJ Maddinson,1.0,9.0,0.0,0.0,0.0,9.0
BB McCullum,13,14,2,0,92.85714285714286,JM Bird,2.0,17.0,0.0,0.0,1.0,8.5
CA Lynn,0,4,0,0,0.0,A Zampa,4.0,17.0,1.0,0.0,0.0,4.25
MT Renshaw,45,43,3,0,104.65116279069768,MP Stoinis,4.0,21.0,4.0,0.0,1.0,5.25
AI Ross,0,1,0,0,0.0,TL O'Connell,2.0,15.0,0.0,0.0,0.0,7.5
JJ Peirson,26,23,2,0,113.04347826086956,GJ Maxwell,2.0,14.0,1.0,0.0,1.0,7.0
BCJ Cutting,6,10,0,0,60.0,DJ Bravo,4.0,25.0,1.0,0.0,1.0,6.25
JK Lalor,1,4,0,0,25.0,LE Plunkett,1.0,8.0,0.0,0.0,0.0,8.0
B Doggett,1,1,0,0,100.0,,,,,,,
MJ Swepson,6,2,1,0,300.0,,,,,,,
