batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJM Short,9,9,0,0,100.0,DJ Worrall,2.0,20.0,0.0,0.0,1.0,10.0
CP Jewell,25,21,4,0,119.04761904761905,GJ Maxwell,3.0,15.0,2.0,0.0,0.0,5.0
BR McDermott,5,3,1,0,166.66666666666669,Haris Rauf,4.0,27.0,5.0,0.0,3.0,6.75
DA Miller,7,7,1,0,100.0,S Lamichhane,3.0,18.0,1.0,0.0,1.0,6.0
M Wright,10,16,1,0,62.5,A Zampa,4.0,29.0,2.0,0.0,0.0,7.25
S Milenko,1,3,0,0,33.33333333333333,,,,,,,
TS Rogers,1,4,0,0,25.0,,,,,,,
NT Ellis,12,10,1,0,120.0,,,,,,,
Qais Ahmad,0,2,0,0,0.0,,,,,,,
CA Rose,32,18,1,3,177.77777777777777,,,,,,,
RP Meredith,2,3,0,0,66.66666666666666,,,,,,,
