batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DP Hughes,12,9,2,0,133.33333333333331,DJ Worrall,3.0,24.0,2.0,0.0,2.0,8.0
JR Philippe,9,8,2,0,112.5,JM Bird,2.0,15.0,1.0,0.0,0.0,7.5
JM Vince,6,5,1,0,120.0,GJ Maxwell,1.0,6.0,1.0,0.0,0.0,6.0
MC Henriques,5,4,1,0,125.0,A Zampa,4.0,15.0,2.0,0.0,0.0,3.75
TK Curran,10,8,2,0,125.0,S Lamichhane,4.0,11.0,3.0,0.0,0.0,2.75
JC Silk,3,8,0,0,37.5,,,,,,,
SA Abbott,1,7,0,0,14.285714285714285,,,,,,,
SNJ O'Keefe,11,19,0,0,57.89473684210527,,,,,,,
BJ Dwarshuis,7,7,0,0,100.0,,,,,,,
NM Lyon,0,2,0,0,0.0,,,,,,,
L Pope,5,5,1,0,100.0,,,,,,,
