batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Miles Hammond,42,26,4,1,161.53846153846155,Mujeeb Ur Rahman,4.0,31.0,2.0,0.0,0.0,7.75
M Klinger,20,22,2,0,90.9090909090909,TG Helm,4.0,48.0,1.0,0.0,0.0,12.0
IA Cockbain,1,3,0,0,33.33333333333333,TS Roland-Jones,4.0,22.0,1.0,2.0,0.0,5.0
James Bracey,32,22,3,1,145.45454545454547,ST Finn,4.0,18.0,3.0,0.0,0.0,4.5
RF Higgins,19,13,0,2,146.15384615384613,NA Sowter,4.0,44.0,1.0,0.0,0.0,11.0
JMR Taylor,22,20,3,0,110.00000000000001,,,,,,,
GL van Buuren,22,11,1,2,200.0,,,,,,,
AJ Tye,0,1,0,0,0.0,,,,,,,
TMJ Smith,1,1,0,0,100.0,,,,,,,
DA Payne,2,2,0,0,100.0,,,,,,,
