batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,10,9,0,1,111.11111111111111,CP Wood,4.0,28.0,1.0,0.0,0.0,7.0
DJ Malan,23,17,4,0,135.29411764705884,KJ Abbott,4.0,25.0,3.0,0.0,0.0,6.25
SS Eskinazi,16,16,2,0,100.0,CH Morris,4.0,22.0,3.0,2.0,0.0,5.0
EJG Morgan,20,17,0,2,117.64705882352942,LA Dawson,4.0,21.0,1.0,0.0,0.0,5.25
Mohammad Hafeez,34,34,2,1,100.0,T Shamsi,4.0,32.0,1.0,0.0,1.0,8.0
JA Simpson,18,16,0,0,112.5,,,,,,,
TS Roland-Jones,3,4,0,0,75.0,,,,,,,
TG Helm,0,3,0,0,0.0,,,,,,,
NA Sowter,0,1,0,0,0.0,,,,,,,
ST Finn,1,3,0,0,33.33333333333333,,,,,,,
TE Barber,0,1,0,0,0.0,,,,,,,
