batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Babar Azam,4,7,0,0,57.14285714285714,Mujeeb Ur Rahman,4.0,36.0,2.0,0.0,5.0,9.0
T Banton,41,25,5,3,164.0,TG Helm,3.0,18.0,0.0,0.0,1.0,6.0
JC Hildreth,28,11,3,2,254.54545454545453,ST Finn,4.0,62.0,2.0,0.0,2.0,15.5
TB Abell,41,23,5,1,178.26086956521738,TS Roland-Jones,3.0,32.0,1.0,0.0,0.0,10.666666666666666
EJ Byrom,4,2,1,0,200.0,NA Sowter,4.0,29.0,4.0,0.0,1.0,7.25
TA Lammonby,8,6,1,0,133.33333333333331,,,,,,,
RE van der Merwe,6,8,1,0,75.0,,,,,,,
C Overton,1,2,0,0,50.0,,,,,,,
J Overton,9,6,0,1,150.0,,,,,,,
JE Taylor,19,10,2,1,190.0,,,,,,,
MTC Waller,7,4,1,0,175.0,,,,,,,
