batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Umar Siddiq,20,20,0,2,100.0,Hasan Ali,4.0,17.0,4.0,0.0,0.0,4.25
JM Vince,0,1,0,0,0.0,Sameen Gul,4.0,44.0,1.0,0.0,7.0,11.0
J Charles,53,34,5,3,155.88235294117646,Wahab Riaz,4.0,34.0,1.0,1.0,4.0,8.25
Shoaib Malik,22,24,0,0,91.66666666666666,Umaid Asif,4.0,28.0,1.0,0.0,0.0,7.0
DT Christian,17,21,1,0,80.95238095238095,KA Pollard,2.0,14.0,0.0,0.0,0.0,7.0
Shahid Afridi,14,11,2,0,127.27272727272727,LA Dawson,2.0,5.0,1.0,0.0,0.0,2.5
Hammad Azam,0,2,0,0,0.0,,,,,,,
Mohammad Ilyas,1,3,0,0,33.33333333333333,,,,,,,
CJ Green,3,3,0,0,100.0,,,,,,,
Junaid Khan,0,1,0,0,0.0,,,,,,,
Mohammad Irfan,0,1,0,0,0.0,,,,,,,
