batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Umar Siddiq,14,23,1,0,60.86956521739131,Sohail Tanvir,4.0,19.0,3.0,0.0,2.0,4.75
JM Vince,9,6,2,0,150.0,Mohammad Nawaz (3),4.0,32.0,2.0,0.0,0.0,8.0
J Charles,46,36,5,1,127.77777777777777,Mohammad Hasnain,4.0,20.0,1.0,0.0,1.0,5.0
TJ Moores,9,15,0,0,60.0,DJ Bravo,4.0,19.0,3.0,0.0,1.0,4.75
Shoaib Malik,21,24,1,1,87.5,Fawad Ahmed,4.0,25.0,0.0,0.0,0.0,6.25
DT Christian,2,1,0,0,200.0,,,,,,,
Shahid Afridi,4,6,0,0,66.66666666666666,,,,,,,
Nauman Ali,3,5,0,0,60.0,,,,,,,
Mohammad Ilyas,2,2,0,0,100.0,,,,,,,
Mohammad Abbas,1,1,0,0,100.0,,,,,,,
Mohammad Irfan,0,1,0,0,0.0,,,,,,,
