batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SR Watson,5,6,1,0,83.33333333333334,JP Behrendorff,4.0,22.0,2.0,0.0,1.0,5.5
AT Rayudu,0,1,0,0,0.0,SL Malinga,4.0,34.0,3.0,1.0,0.0,8.25
SK Raina,16,15,2,1,106.66666666666667,HH Pandya,4.0,20.0,3.0,0.0,1.0,5.0
KM Jadhav,58,54,8,1,107.40740740740742,JJ Bumrah,4.0,27.0,0.0,1.0,0.0,6.5
MS Dhoni,12,21,0,0,57.14285714285714,RD Chahar,2.0,11.0,0.0,0.0,1.0,5.5
RA Jadeja,1,2,0,0,50.0,KH Pandya,2.0,12.0,0.0,0.0,2.0,6.0
DJ Bravo,8,9,0,1,88.88888888888889,,,,,,,
DL Chahar,7,7,1,0,100.0,,,,,,,
SN Thakur,12,5,1,1,240.0,,,,,,,
MM Sharma,0,2,0,0,0.0,,,,,,,
