batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RG Sharma,14,13,2,0,107.6923076923077,TA Boult,4.0,42.0,1.0,0.0,1.0,10.5
Q de Kock,27,16,4,1,168.75,I Sharma,4.0,34.0,2.0,0.0,0.0,8.5
SA Yadav,2,6,0,0,33.33333333333333,K Rabada,4.0,23.0,2.0,0.0,4.0,5.75
KA Pollard,21,13,2,1,161.53846153846155,R Tewatia,2.0,12.0,1.0,0.0,0.0,6.0
Yuvraj Singh,53,35,5,3,151.42857142857142,KMA Paul,3.0,21.0,1.0,0.0,2.0,7.0
HH Pandya,0,2,0,0,0.0,AR Patel,3.0,42.0,1.0,0.0,0.0,14.0
KH Pandya,32,15,5,1,213.33333333333334,,,,,,,
BCJ Cutting,3,4,0,0,75.0,,,,,,,
MJ McClenaghan,10,8,2,0,125.0,,,,,,,
Rasikh Salam,5,4,0,0,125.0,,,,,,,
