batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
T Perera,24,18,3,0,133.33333333333331,JN Frylinck,3.0,10.0,1.0,0.0,1.0,3.3333333333333335
K Mothlhanka,11,13,2,0,84.61538461538461,BM Scholtz,4.0,31.0,2.0,0.0,0.0,7.75
Ameer Saiyed,8,16,1,0,50.0,T Lungameni,2.0,8.0,1.0,0.0,0.0,4.0
R Nehonde,17,19,2,0,89.47368421052632,HN Ya France,2.0,15.0,0.0,0.0,1.0,7.5
V Mbazo,13,20,0,0,65.0,MG Erasmus,3.0,12.0,3.0,0.0,0.0,4.0
H Pragji,2,6,0,0,33.33333333333333,B Shikongo,2.0,7.0,0.0,0.0,1.0,3.5
P Silas,9,8,1,0,112.5,CG Williams,2.0,9.0,3.0,0.0,0.0,4.5
M Mooketsi,0,1,0,0,0.0,,,,,,,
D Kegasitswe,4,4,0,0,100.0,,,,,,,
D Maisuria,0,1,0,0,0.0,,,,,,,
B Khumalo,1,3,0,0,33.33333333333333,,,,,,,
