batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JP Kotze,7,8,1,0,87.5,RE van der Merwe,4.0,22.0,1.0,0.0,0.0,5.5
N Davin,12,8,2,0,150.0,PA van Meekeren,4.0,16.0,3.0,0.0,0.0,4.0
C Viljoen,6,8,1,0,75.0,FJ Klaassen,2.0,7.0,2.0,0.0,0.0,3.5
MG Erasmus,8,14,0,0,57.14285714285714,BD Glover,3.0,15.0,3.0,0.0,1.0,5.0
JJ Smit,5,3,1,0,166.66666666666669,T van der Gugten,3.0,17.0,1.0,0.0,2.0,5.666666666666667
ZE Green,6,14,0,0,42.857142857142854,PM Seelaar,3.0,18.0,0.0,0.0,0.0,6.0
CG Williams,27,23,1,0,117.3913043478261,,,,,,,
JN Frylinck,0,1,0,0,0.0,,,,,,,
HN Ya France,5,10,0,0,50.0,,,,,,,
Z Groenewald,13,18,0,0,72.22222222222221,,,,,,,
BM Scholtz,3,7,0,0,42.857142857142854,,,,,,,
