batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Khawar Ali,41,25,5,2,164.0,JN Frylinck,4.0,23.0,1.0,0.0,1.0,5.75
Jatinder Singh,0,1,0,0,0.0,C Viljoen,2.0,30.0,0.0,0.0,0.0,15.0
Aqib Ilyas,18,17,2,0,105.88235294117648,JJ Smit,3.0,12.0,2.0,0.0,0.0,4.0
Zeeshan Maqsood,2,6,0,0,33.33333333333333,CG Williams,2.0,8.0,1.0,0.0,1.0,4.0
Aamir Kaleem,13,13,0,0,100.0,BM Scholtz,4.0,14.0,3.0,0.0,0.0,3.5
Suraj Kumar,6,10,0,0,60.0,MG Erasmus,4.0,19.0,3.0,0.0,3.0,4.75
Sandeep Goud,5,8,0,0,62.5,,,,,,,
Khurram Nawaz,8,12,0,0,66.66666666666666,,,,,,,
Mohammad Nadeem,0,6,0,0,0.0,,,,,,,
Fayyaz Butt,6,9,0,0,66.66666666666666,,,,,,,
Bilal Khan,2,8,0,0,25.0,,,,,,,
