batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JP Kotze,12,18,1,0,66.66666666666666,N Pokana,3.0,24.0,1.0,0.0,2.0,8.0
N Davin,15,8,1,1,187.5,S Bau,4.0,15.0,1.0,0.0,0.0,3.75
MG Erasmus,10,8,2,0,125.0,D Ravu,3.0,17.0,1.0,1.0,0.0,5.333333333333333
CG Williams,0,2,0,0,0.0,N Vanua,2.0,5.0,1.0,0.0,0.0,2.5
C Viljoen,17,21,0,1,80.95238095238095,J Kila,1.0,11.0,0.0,0.0,0.0,11.0
JJ Smit,12,12,0,1,100.0,CJA Amini,1.0,8.0,1.0,0.0,0.0,8.0
ZE Green,0,1,0,0,0.0,A Vala,3.0,19.0,3.0,0.0,0.0,6.333333333333333
Z Groenewald,4,10,0,0,40.0,R Hekure,0.0,0.0,0.0,0.0,0.0,
JN Frylinck,13,15,1,0,86.66666666666667,,,,,,,
HN Ya France,13,9,1,1,144.44444444444443,,,,,,,
