batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HG Munsey,11,5,1,0,220.00000000000003,B Shikongo,1.0,11.0,1.0,0.0,1.0,11.0
CD Wallace,0,2,0,0,0.0,JN Frylinck,4.0,15.0,2.0,0.0,0.0,3.75
CS MacLeod,39,46,1,1,84.78260869565217,JJ Smit,4.0,31.0,1.0,0.0,3.0,7.75
RD Berrington,23,24,1,1,95.83333333333334,C Viljoen,4.0,24.0,2.0,0.0,1.0,6.0
MA Leask,8,7,0,1,114.28571428571428,BM Scholtz,4.0,28.0,1.0,0.0,0.0,7.0
MH Cross,9,10,1,0,90.0,CG Williams,3.0,21.0,0.0,0.0,1.0,7.0
TB Sole,1,2,0,0,50.0,,,,,,,
MRJ Watt,4,6,0,0,66.66666666666666,,,,,,,
SM Sharif,17,10,2,0,170.0,,,,,,,
JH Davey,12,8,0,1,150.0,,,,,,,
