batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TH David,19,16,1,0,118.75,JN Frylinck,3.0,21.0,4.0,0.0,1.0,7.0
S Chandramohan,0,1,0,0,0.0,C Viljoen,3.0,14.0,3.0,0.0,1.0,4.666666666666667
U Aryaman Sunil,6,4,0,1,150.0,JJ Smit,3.0,22.0,1.0,0.0,2.0,7.333333333333333
Aritra Dutta,1,3,0,0,33.33333333333333,B Shikongo,1.0,11.0,0.0,1.0,0.0,10.0
R Rohan,16,15,2,0,106.66666666666667,CG Williams,3.0,11.0,1.0,0.0,0.0,3.6666666666666665
Manpreet Singh,6,10,0,0,60.0,BM Scholtz,4.0,25.0,1.0,0.0,0.0,6.25
NMS Param,28,27,2,0,103.7037037037037,,,,,,,
Janak Prakash,10,12,0,0,83.33333333333334,,,,,,,
Sidhant Singh,12,10,0,1,120.0,,,,,,,
V Baskaran,0,1,0,0,0.0,,,,,,,
Amjad Mahboob,1,5,0,0,20.0,,,,,,,
