batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Mohamed Rishwan,17,18,2,1,94.44444444444444,Karan KC,3.0,18.0,0.0,0.0,0.0,6.0
Ahmed Hassan,6,13,0,0,46.15384615384615,A Bohara,3.0,14.0,0.0,0.0,0.0,4.666666666666667
Azyan Farhath,2,4,0,0,50.0,S Bhari,4.0,24.0,2.0,0.0,0.0,6.0
Umar Adam,11,11,1,0,100.0,LN Rajbanshi,4.0,6.0,3.0,0.0,1.0,1.5
Ibrahim Hassan,0,2,0,0,0.0,P Khadka,4.0,18.0,1.0,0.0,2.0,4.5
Mohamed Azzam,0,2,0,0,0.0,P Sarraf,2.0,12.0,0.0,0.0,0.0,6.0
Ibrahim Rizan,3,10,0,0,30.0,,,,,,,
Mohamed Mahfooz,16,23,2,0,69.56521739130434,,,,,,,
Ameel Mauroof,13,24,1,0,54.166666666666664,,,,,,,
L Shafeeg,19,11,2,1,172.72727272727272,,,,,,,
Nazwan Ismail,2,2,0,0,100.0,,,,,,,
