batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
P Khadka,28,17,4,1,164.70588235294116,Mohammed Awais,3.0,21.0,0.0,0.0,2.0,7.0
G Malla,23,24,2,1,95.83333333333334,Inam-ul-Haq,3.0,28.0,1.0,0.0,0.0,9.333333333333334
S Vesawkar,7,13,0,0,53.84615384615385,Tamoor Sajjad,4.0,14.0,2.0,0.0,0.0,3.5
DS Airee,34,35,1,1,97.14285714285714,Mohammed Nadeem,4.0,21.0,0.0,0.0,0.0,5.25
Sompal Kami,11,12,1,0,91.66666666666666,Iqbal Hussain,4.0,21.0,3.0,0.0,0.0,5.25
B Bhandari,3,7,0,0,42.857142857142854,Nouman Sarwar,2.0,17.0,2.0,0.0,0.0,8.5
Karan KC,4,4,0,0,100.0,,,,,,,
S Lamichhane,9,5,1,0,180.0,,,,,,,
B Regmi,1,2,0,0,50.0,,,,,,,
A Bohara,0,1,0,0,0.0,,,,,,,
