batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
P Khadka,12,15,2,0,80.0,SC Williams,4.0,21.0,3.0,0.0,0.0,5.25
P Sarraf,0,4,0,0,0.0,TL Chatara,4.0,22.0,1.0,0.0,2.0,5.5
DS Airee,4,4,1,0,100.0,D Jakiel,3.0,17.0,1.0,0.0,3.0,5.666666666666667
Aarif Sheikh,25,20,3,1,125.0,WT Mashinge,3.0,37.0,1.0,0.0,2.0,12.333333333333334
B Bhandari,33,35,4,0,94.28571428571428,CT Mutombodzi,3.0,12.0,2.0,0.0,0.0,4.0
Kushal Malla,5,9,1,0,55.55555555555556,RP Burl,2.0,8.0,1.0,0.0,1.0,4.0
Sompal Kami,7,8,0,0,87.5,T Munyonga,1.0,3.0,0.0,0.0,0.0,3.0
Karan KC,18,10,1,1,180.0,,,,,,,
S Lamichhane,5,9,0,0,55.55555555555556,,,,,,,
S Bhari,0,2,0,0,0.0,,,,,,,
A Bohara,3,4,0,0,75.0,,,,,,,
